Year,Country,Yield,Rainfall_mm_per_year,Avg_Temp_C,Pesticides_tonnes
1999,Australia,32215,534.0,19.75,34200.0
1999,Australia,32215,534.0,12.1,34200.0
1999,Australia,32215,534.0,14.2,34200.0
1999,Australia,32215,534.0,19.28,34200.0
1999,Australia,32215,534.0,17.55,34200.0
2000,Australia,34003,534.0,17.08,33475.0
2000,Australia,34003,534.0,19.89,33475.0
2000,Australia,34003,534.0,12.09,33475.0
2000,Australia,34003,534.0,14.32,33475.0
2000,Australia,34003,534.0,19.07,33475.0
2000,Australia,34003,534.0,17.57,33475.0
2001,Australia,25539,534.0,16.63,32710.0
2001,Australia,25539,534.0,20.21,32710.0
2001,Australia,25539,534.0,12.29,32710.0
2001,Australia,25539,534.0,14.18,32710.0
2001,Australia,25539,534.0,18.39,32710.0
2001,Australia,25539,534.0,17.85,32710.0
2002,Australia,24561,534.0,16.63,26651.0
2002,Australia,24561,534.0,20.38,26651.0
2002,Australia,24561,534.0,12.31,26651.0
2002,Australia,24561,534.0,14.08,26651.0
2002,Australia,24561,534.0,18.93,26651.0
2002,Australia,24561,534.0,17.73,26651.0
2004,Australia,27367,534.0,16.64,36276.0
2004,Australia,27367,534.0,20.42,36276.0
2004,Australia,27367,534.0,12.35,36276.0
2004,Australia,27367,534.0,13.74,36276.0
2004,Australia,27367,534.0,18.87,36276.0
2004,Australia,27367,534.0,17.87,36276.0
2005,Australia,26629,534.0,16.93,34310.0
2005,Australia,26629,534.0,20.71,34310.0
2005,Australia,26629,534.0,12.48,34310.0
2005,Australia,26629,534.0,14.38,34310.0
2005,Australia,26629,534.0,18.26,34310.0
2005,Australia,26629,534.0,18.03,34310.0
2006,Australia,25205,534.0,16.75,35900.0
2006,Australia,25205,534.0,20.17,35900.0
2006,Australia,25205,534.0,12.51,35900.0
2006,Australia,25205,534.0,13.99,35900.0
2006,Australia,25205,534.0,18.99,35900.0
2006,Australia,25205,534.0,17.75,35900.0
2007,Australia,20918,534.0,17.49,32446.25
2007,Australia,20918,534.0,20.31,32446.25
2007,Australia,20918,534.0,12.83,32446.25
2007,Australia,20918,534.0,14.99,32446.25
2007,Australia,20918,534.0,18.84,32446.25
2007,Australia,20918,534.0,18.02,32446.25
2008,Australia,40252,534.0,16.7,42935.38
2008,Australia,40252,534.0,19.79,42935.38
2008,Australia,40252,534.0,12.0,42935.38
2008,Australia,40252,534.0,14.11,42935.38
2008,Australia,40252,534.0,18.78,42935.38
2008,Australia,40252,534.0,17.32,42935.38
2009,Australia,35096,534.0,17.39,38065.68
2009,Australia,35096,534.0,20.65,38065.68
2009,Australia,35096,534.0,12.87,38065.68
2009,Australia,35096,534.0,14.65,38065.68
2009,Australia,35096,534.0,19.01,38065.68
2009,Australia,35096,534.0,18.18,38065.68
2010,Australia,30279,534.0,16.72,42169.39
2010,Australia,30279,534.0,20.33,42169.39
2010,Australia,30279,534.0,12.37,42169.39
2010,Australia,30279,534.0,14.23,42169.39
2010,Australia,30279,534.0,19.09,42169.39
2010,Australia,30279,534.0,18.0,42169.39
2011,Australia,30558,534.0,16.9,47632.99
2011,Australia,30558,534.0,19.88,47632.99
2011,Australia,30558,534.0,12.16,47632.99
2011,Australia,30558,534.0,14.19,47632.99
2011,Australia,30558,534.0,19.99,47632.99
2011,Australia,30558,534.0,17.71,47632.99
2012,Australia,33960,534.0,16.84,48687.88
2012,Australia,33960,534.0,20.08,48687.88
2012,Australia,33960,534.0,11.79,48687.88
2012,Australia,33960,534.0,14.27,48687.88
2012,Australia,33960,534.0,19.55,48687.88
2012,Australia,33960,534.0,17.47,48687.88
2013,Australia,34419,534.0,17.39,45177.18
2013,Australia,34419,534.0,20.14,45177.18
2013,Australia,34419,534.0,12.19,45177.18
2013,Australia,34419,534.0,14.74,45177.18
2013,Australia,34419,534.0,19.98,45177.18
2013,Australia,34419,534.0,18.09,45177.18
1990,Australia,15718,534.0,16.8,17866.0
1990,Australia,15718,534.0,20.06,17866.0
1990,Australia,15718,534.0,12.11,17866.0
1990,Australia,15718,534.0,14.16,17866.0
1990,Australia,15718,534.0,18.05,17866.0
1990,Australia,15718,534.0,17.47,17866.0
1991,Australia,15551,534.0,16.78,17866.0
1991,Australia,15551,534.0,20.29,17866.0
1991,Australia,15551,534.0,12.22,17866.0
1991,Australia,15551,534.0,13.77,17866.0
1991,Australia,15551,534.0,18.73,17866.0
1991,Australia,15551,534.0,17.85,17866.0
1992,Australia,21141,534.0,15.78,22234.0
1992,Australia,21141,534.0,19.79,22234.0
1992,Australia,21141,534.0,11.21,22234.0
1992,Australia,21141,534.0,13.31,22234.0
1992,Australia,21141,534.0,18.45,22234.0
1992,Australia,21141,534.0,16.89,22234.0
1993,Australia,16168,534.0,16.71,23899.0
1993,Australia,16168,534.0,20.19,23899.0
1993,Australia,16168,534.0,11.84,23899.0
1993,Australia,16168,534.0,13.81,23899.0
1993,Australia,16168,534.0,18.03,23899.0
1993,Australia,16168,534.0,17.42,23899.0
1994,Australia,19999,534.0,16.43,21057.0
1994,Australia,19999,534.0,19.59,21057.0
1994,Australia,19999,534.0,11.6,21057.0
1994,Australia,19999,534.0,13.52,21057.0
1994,Australia,19999,534.0,19.17,21057.0
1994,Australia,19999,534.0,17.36,21057.0
1995,Australia,15318,534.0,16.14,25598.0
1995,Australia,15318,534.0,20.12,25598.0
1995,Australia,15318,534.0,11.39,25598.0
1995,Australia,15318,534.0,13.14,25598.0
1995,Australia,15318,534.0,18.88,25598.0
1995,Australia,15318,534.0,16.95,25598.0
1996,Australia,18740,534.0,16.12,31185.0
1996,Australia,18740,534.0,20.06,31185.0
1996,Australia,18740,534.0,11.29,31185.0
1996,Australia,18740,534.0,13.05,31185.0
1996,Australia,18740,534.0,19.13,31185.0
1996,Australia,18740,534.0,17.05,31185.0
1997,Australia,18974,534.0,16.48,34091.0
1997,Australia,18974,534.0,20.16,34091.0
1997,Australia,18974,534.0,12.13,34091.0
1997,Australia,18974,534.0,13.93,34091.0
1997,Australia,18974,534.0,18.94,34091.0
1997,Australia,18974,534.0,17.51,34091.0
1998,Australia,17035,534.0,16.28,37215.0
1998,Australia,17035,534.0,20.62,37215.0
1998,Australia,17035,534.0,12.46,37215.0
1998,Australia,17035,534.0,13.61,37215.0
1998,Australia,17035,534.0,18.9,37215.0
1998,Australia,17035,534.0,18.05,37215.0
1999,Australia,22667,534.0,16.77,34200.0
1999,Australia,22667,534.0,19.75,34200.0
1999,Australia,22667,534.0,12.1,34200.0
1999,Australia,22667,534.0,14.2,34200.0
1999,Australia,22667,534.0,19.28,34200.0
1999,Australia,22667,534.0,17.55,34200.0
2000,Australia,18714,534.0,17.08,33475.0
2000,Australia,18714,534.0,19.89,33475.0
2000,Australia,18714,534.0,12.09,33475.0
2000,Australia,18714,534.0,14.32,33475.0
2000,Australia,18714,534.0,19.07,33475.0
2000,Australia,18714,534.0,17.57,33475.0
2001,Australia,14626,534.0,16.63,32710.0
2001,Australia,14626,534.0,20.21,32710.0
2001,Australia,14626,534.0,12.29,32710.0
2001,Australia,14626,534.0,14.18,32710.0
2001,Australia,14626,534.0,18.39,32710.0
2001,Australia,14626,534.0,17.85,32710.0
2002,Australia,19487,534.0,16.63,26651.0
2002,Australia,19487,534.0,20.38,26651.0
2002,Australia,19487,534.0,12.31,26651.0
2002,Australia,19487,534.0,14.08,26651.0
2002,Australia,19487,534.0,18.93,26651.0
2002,Australia,19487,534.0,17.73,26651.0
2004,Australia,22136,534.0,16.64,36276.0
2004,Australia,22136,534.0,20.42,36276.0
2004,Australia,22136,534.0,12.35,36276.0
2004,Australia,22136,534.0,13.74,36276.0
2004,Australia,22136,534.0,18.87,36276.0
2004,Australia,22136,534.0,17.87,36276.0
2005,Australia,16810,534.0,16.93,34310.0
2005,Australia,16810,534.0,20.71,34310.0
2005,Australia,16810,534.0,12.48,34310.0
2005,Australia,16810,534.0,14.38,34310.0
2005,Australia,16810,534.0,18.26,34310.0
2005,Australia,16810,534.0,18.03,34310.0
2006,Australia,20993,534.0,16.75,35900.0
2006,Australia,20993,534.0,20.17,35900.0
2006,Australia,20993,534.0,12.51,35900.0
2006,Australia,20993,534.0,13.99,35900.0
2006,Australia,20993,534.0,18.99,35900.0
2006,Australia,20993,534.0,17.75,35900.0
2007,Australia,19730,534.0,17.49,32446.25
2007,Australia,19730,534.0,20.31,32446.25
2007,Australia,19730,534.0,12.83,32446.25
2007,Australia,19730,534.0,14.99,32446.25
2007,Australia,19730,534.0,18.84,32446.25
2007,Australia,19730,534.0,18.02,32446.25
2008,Australia,23289,534.0,16.7,42935.38
2008,Australia,23289,534.0,19.79,42935.38
2008,Australia,23289,534.0,12.0,42935.38
2008,Australia,23289,534.0,14.11,42935.38
2008,Australia,23289,534.0,18.78,42935.38
2008,Australia,23289,534.0,17.32,42935.38
2009,Australia,18926,534.0,17.39,38065.68
2009,Australia,18926,534.0,20.65,38065.68
2009,Australia,18926,534.0,12.87,38065.68
2009,Australia,18926,534.0,14.65,38065.68
2009,Australia,18926,534.0,19.01,38065.68
2009,Australia,18926,534.0,18.18,38065.68
2010,Australia,19042,534.0,16.72,42169.39
2010,Australia,19042,534.0,20.33,42169.39
2010,Australia,19042,534.0,12.37,42169.39
2010,Australia,19042,534.0,14.23,42169.39
2010,Australia,19042,534.0,19.09,42169.39
2010,Australia,19042,534.0,18.0,42169.39
2011,Australia,17136,534.0,16.9,47632.99
2011,Australia,17136,534.0,19.88,47632.99
2011,Australia,17136,534.0,12.16,47632.99
2011,Australia,17136,534.0,14.19,47632.99
2011,Australia,17136,534.0,19.99,47632.99
2011,Australia,17136,534.0,17.71,47632.99
2012,Australia,22598,534.0,16.84,48687.88
2012,Australia,22598,534.0,20.08,48687.88
2012,Australia,22598,534.0,11.79,48687.88
2012,Australia,22598,534.0,14.27,48687.88
2012,Australia,22598,534.0,19.55,48687.88
2012,Australia,22598,534.0,17.47,48687.88
2013,Australia,22336,534.0,17.39,45177.18
2013,Australia,22336,534.0,20.14,45177.18
2013,Australia,22336,534.0,12.19,45177.18
2013,Australia,22336,534.0,14.74,45177.18
2013,Australia,22336,534.0,19.98,45177.18
2013,Australia,22336,534.0,18.09,45177.18
1990,Australia,137140,534.0,16.8,17866.0
1990,Australia,137140,534.0,20.06,17866.0
1990,Australia,137140,534.0,12.11,17866.0
1990,Australia,137140,534.0,14.16,17866.0
1990,Australia,137140,534.0,18.05,17866.0
1990,Australia,137140,534.0,17.47,17866.0
1991,Australia,151142,534.0,16.78,17866.0
1991,Australia,151142,534.0,20.29,17866.0
1991,Australia,151142,534.0,12.22,17866.0
1991,Australia,151142,534.0,13.77,17866.0
1991,Australia,151142,534.0,18.73,17866.0
1991,Australia,151142,534.0,17.85,17866.0
1992,Australia,127548,534.0,15.78,22234.0
1992,Australia,127548,534.0,19.79,22234.0
1992,Australia,127548,534.0,11.21,22234.0
1992,Australia,127548,534.0,13.31,22234.0
1992,Australia,127548,534.0,18.45,22234.0
1992,Australia,127548,534.0,16.89,22234.0
1993,Australia,132702,534.0,16.71,23899.0
1993,Australia,132702,534.0,20.19,23899.0
1993,Australia,132702,534.0,11.84,23899.0
1993,Australia,132702,534.0,13.81,23899.0
1993,Australia,132702,534.0,18.03,23899.0
1993,Australia,132702,534.0,17.42,23899.0
1994,Australia,140961,534.0,16.43,21057.0
1994,Australia,140961,534.0,19.59,21057.0
1994,Australia,140961,534.0,11.6,21057.0
1994,Australia,140961,534.0,13.52,21057.0
1994,Australia,140961,534.0,19.17,21057.0
1994,Australia,140961,534.0,17.36,21057.0
1995,Australia,155252,534.0,16.14,25598.0
1995,Australia,155252,534.0,20.12,25598.0
1995,Australia,155252,534.0,11.39,25598.0
1995,Australia,155252,534.0,13.14,25598.0
1995,Australia,155252,534.0,18.88,25598.0
1995,Australia,155252,534.0,16.95,25598.0
1996,Australia,172474,534.0,16.12,31185.0
1996,Australia,172474,534.0,20.06,31185.0
1996,Australia,172474,534.0,11.29,31185.0
1996,Australia,172474,534.0,13.05,31185.0
1996,Australia,172474,534.0,19.13,31185.0
1996,Australia,172474,534.0,17.05,31185.0
1997,Australia,244444,534.0,16.48,34091.0
1997,Australia,244444,534.0,20.16,34091.0
1997,Australia,244444,534.0,12.13,34091.0
1997,Australia,244444,534.0,13.93,34091.0
1997,Australia,244444,534.0,18.94,34091.0
1997,Australia,244444,534.0,17.51,34091.0
1998,Australia,276923,534.0,16.28,37215.0
1998,Australia,276923,534.0,20.62,37215.0
1998,Australia,276923,534.0,12.46,37215.0
1998,Australia,276923,534.0,13.61,37215.0
1998,Australia,276923,534.0,18.9,37215.0
1998,Australia,276923,534.0,18.05,37215.0
1999,Australia,275000,534.0,16.77,34200.0
1999,Australia,275000,534.0,19.75,34200.0
1999,Australia,275000,534.0,12.1,34200.0
1999,Australia,275000,534.0,14.2,34200.0
1999,Australia,275000,534.0,19.28,34200.0
1999,Australia,275000,534.0,17.55,34200.0
2000,Australia,317647,534.0,17.08,33475.0
2000,Australia,317647,534.0,19.89,33475.0
2000,Australia,317647,534.0,12.09,33475.0
2000,Australia,317647,534.0,14.32,33475.0
2000,Australia,317647,534.0,19.07,33475.0
2000,Australia,317647,534.0,17.57,33475.0
2001,Australia,333333,534.0,16.63,32710.0
2001,Australia,333333,534.0,20.21,32710.0
2001,Australia,333333,534.0,12.29,32710.0
2001,Australia,333333,534.0,14.18,32710.0
2001,Australia,333333,534.0,18.39,32710.0
2001,Australia,333333,534.0,17.85,32710.0
2002,Australia,347368,534.0,16.63,26651.0
2002,Australia,347368,534.0,20.38,26651.0
2002,Australia,347368,534.0,12.31,26651.0
2002,Australia,347368,534.0,14.08,26651.0
2002,Australia,347368,534.0,18.93,26651.0
2002,Australia,347368,534.0,17.73,26651.0
2004,Australia,333333,534.0,16.64,36276.0
2004,Australia,333333,534.0,20.42,36276.0
2004,Australia,333333,534.0,12.35,36276.0
2004,Australia,333333,534.0,13.74,36276.0
2004,Australia,333333,534.0,18.87,36276.0
2004,Australia,333333,534.0,17.87,36276.0
2005,Australia,336000,534.0,16.93,34310.0
2005,Australia,336000,534.0,20.71,34310.0
2005,Australia,336000,534.0,12.48,34310.0
2005,Australia,336000,534.0,14.38,34310.0
2005,Australia,336000,534.0,18.26,34310.0
2005,Australia,336000,534.0,18.03,34310.0
2006,Australia,278748,534.0,16.75,35900.0
2006,Australia,278748,534.0,20.17,35900.0
2006,Australia,278748,534.0,12.51,35900.0
2006,Australia,278748,534.0,13.99,35900.0
2006,Australia,278748,534.0,18.99,35900.0
2006,Australia,278748,534.0,17.75,35900.0
2007,Australia,346237,534.0,17.49,32446.25
2007,Australia,346237,534.0,20.31,32446.25
2007,Australia,346237,534.0,12.83,32446.25
2007,Australia,346237,534.0,14.99,32446.25
2007,Australia,346237,534.0,18.84,32446.25
2007,Australia,346237,534.0,18.02,32446.25
2008,Australia,266530,534.0,16.7,42935.38
2008,Australia,266530,534.0,19.79,42935.38
2008,Australia,266530,534.0,12.0,42935.38
2008,Australia,266530,534.0,14.11,42935.38
2008,Australia,266530,534.0,18.78,42935.38
2008,Australia,266530,534.0,17.32,42935.38
2009,Australia,250797,534.0,17.39,38065.68
2009,Australia,250797,534.0,20.65,38065.68
2009,Australia,250797,534.0,12.87,38065.68
2009,Australia,250797,534.0,14.65,38065.68
2009,Australia,250797,534.0,19.01,38065.68
2009,Australia,250797,534.0,18.18,38065.68
2010,Australia,305974,534.0,16.72,42169.39
2010,Australia,305974,534.0,20.33,42169.39
2010,Australia,305974,534.0,12.37,42169.39
2010,Australia,305974,534.0,14.23,42169.39
2010,Australia,305974,534.0,19.09,42169.39
2010,Australia,305974,534.0,18.0,42169.39
2011,Australia,319252,534.0,16.9,47632.99
2011,Australia,319252,534.0,19.88,47632.99
2011,Australia,319252,534.0,12.16,47632.99
2011,Australia,319252,534.0,14.19,47632.99
2011,Australia,319252,534.0,19.99,47632.99
2011,Australia,319252,534.0,17.71,47632.99
2012,Australia,331853,534.0,16.84,48687.88
2012,Australia,331853,534.0,20.08,48687.88
2012,Australia,331853,534.0,11.79,48687.88
2012,Australia,331853,534.0,14.27,48687.88
2012,Australia,331853,534.0,19.55,48687.88
2012,Australia,331853,534.0,17.47,48687.88
2013,Australia,344391,534.0,17.39,45177.18
2013,Australia,344391,534.0,20.14,45177.18
2013,Australia,344391,534.0,12.19,45177.18
2013,Australia,344391,534.0,14.74,45177.18
2013,Australia,344391,534.0,19.98,45177.18
2013,Australia,344391,534.0,18.09,45177.18
1990,Australia,16344,534.0,16.8,17866.0
1990,Australia,16344,534.0,20.06,17866.0
1990,Australia,16344,534.0,12.11,17866.0
1990,Australia,16344,534.0,14.16,17866.0
1990,Australia,16344,534.0,18.05,17866.0
1990,Australia,16344,534.0,17.47,17866.0
1991,Australia,14698,534.0,16.78,17866.0
1991,Australia,14698,534.0,20.29,17866.0
1991,Australia,14698,534.0,12.22,17866.0
1991,Australia,14698,534.0,13.77,17866.0
1991,Australia,14698,534.0,18.73,17866.0
1991,Australia,14698,534.0,17.85,17866.0
1992,Australia,17812,534.0,15.78,22234.0
1992,Australia,17812,534.0,19.79,22234.0
1992,Australia,17812,534.0,11.21,22234.0
1992,Australia,17812,534.0,13.31,22234.0
1992,Australia,17812,534.0,18.45,22234.0
1992,Australia,17812,534.0,16.89,22234.0
1993,Australia,19658,534.0,16.71,23899.0
1993,Australia,19658,534.0,20.19,23899.0
1993,Australia,19658,534.0,11.84,23899.0
1993,Australia,19658,534.0,13.81,23899.0
1993,Australia,19658,534.0,18.03,23899.0
1993,Australia,19658,534.0,17.42,23899.0
1994,Australia,11356,534.0,16.43,21057.0
1994,Australia,11356,534.0,19.59,21057.0
1994,Australia,11356,534.0,11.6,21057.0
1994,Australia,11356,534.0,13.52,21057.0
1994,Australia,11356,534.0,19.17,21057.0
1994,Australia,11356,534.0,17.36,21057.0
1995,Australia,17899,534.0,16.14,25598.0
1995,Australia,17899,534.0,20.12,25598.0
1995,Australia,17899,534.0,11.39,25598.0
1995,Australia,17899,534.0,13.14,25598.0
1995,Australia,17899,534.0,18.88,25598.0
1995,Australia,17899,534.0,16.95,25598.0
1996,Australia,21673,534.0,16.12,31185.0
1996,Australia,21673,534.0,20.06,31185.0
1996,Australia,21673,534.0,11.29,31185.0
1996,Australia,21673,534.0,13.05,31185.0
1996,Australia,21673,534.0,19.13,31185.0
1996,Australia,21673,534.0,17.05,31185.0
1997,Australia,18412,534.0,16.48,34091.0
1997,Australia,18412,534.0,20.16,34091.0
1997,Australia,18412,534.0,12.13,34091.0
1997,Australia,18412,534.0,13.93,34091.0
1997,Australia,18412,534.0,18.94,34091.0
1997,Australia,18412,534.0,17.51,34091.0
1998,Australia,19153,534.0,16.28,37215.0
1998,Australia,19153,534.0,20.62,37215.0
1998,Australia,19153,534.0,12.46,37215.0
1998,Australia,19153,534.0,13.61,37215.0
1998,Australia,19153,534.0,18.9,37215.0
1998,Australia,19153,534.0,18.05,37215.0
1999,Australia,20066,534.0,16.77,34200.0
1999,Australia,20066,534.0,19.75,34200.0
1999,Australia,20066,534.0,12.1,34200.0
1999,Australia,20066,534.0,14.2,34200.0
1999,Australia,20066,534.0,19.28,34200.0
1999,Australia,20066,534.0,17.55,34200.0
2000,Australia,18209,534.0,17.08,33475.0
2000,Australia,18209,534.0,19.89,33475.0
2000,Australia,18209,534.0,12.09,33475.0
2000,Australia,18209,534.0,14.32,33475.0
2000,Australia,18209,534.0,19.07,33475.0
2000,Australia,18209,534.0,17.57,33475.0
2001,Australia,18209,534.0,16.63,32710.0
2001,Australia,18209,534.0,20.21,32710.0
2001,Australia,18209,534.0,12.29,32710.0
2001,Australia,18209,534.0,14.18,32710.0
2001,Australia,18209,534.0,18.39,32710.0
2001,Australia,18209,534.0,17.85,32710.0
2002,Australia,21076,534.0,16.63,26651.0
2002,Australia,21076,534.0,20.38,26651.0
2002,Australia,21076,534.0,12.31,26651.0
2002,Australia,21076,534.0,14.08,26651.0
2002,Australia,21076,534.0,18.93,26651.0
2002,Australia,21076,534.0,17.73,26651.0
2004,Australia,19998,534.0,16.64,36276.0
2004,Australia,19998,534.0,20.42,36276.0
2004,Australia,19998,534.0,12.35,36276.0
2004,Australia,19998,534.0,13.74,36276.0
2004,Australia,19998,534.0,18.87,36276.0
2004,Australia,19998,534.0,17.87,36276.0
2005,Australia,16348,534.0,16.93,34310.0
2005,Australia,16348,534.0,20.71,34310.0
2005,Australia,16348,534.0,12.48,34310.0
2005,Australia,16348,534.0,14.38,34310.0
2005,Australia,16348,534.0,18.26,34310.0
2005,Australia,16348,534.0,18.03,34310.0
2006,Australia,20213,534.0,16.75,35900.0
2006,Australia,20213,534.0,20.17,35900.0
2006,Australia,20213,534.0,12.51,35900.0
2006,Australia,20213,534.0,13.99,35900.0
2006,Australia,20213,534.0,18.99,35900.0
2006,Australia,20213,534.0,17.75,35900.0
2007,Australia,9173,534.0,17.49,32446.25
2007,Australia,9173,534.0,20.31,32446.25
2007,Australia,9173,534.0,12.83,32446.25
2007,Australia,9173,534.0,14.99,32446.25
2007,Australia,9173,534.0,18.84,32446.25
2007,Australia,9173,534.0,18.02,32446.25
2008,Australia,10788,534.0,16.7,42935.38
2008,Australia,10788,534.0,19.79,42935.38
2008,Australia,10788,534.0,12.0,42935.38
2008,Australia,10788,534.0,14.11,42935.38
2008,Australia,10788,534.0,18.78,42935.38
2008,Australia,10788,534.0,17.32,42935.38
2009,Australia,15831,534.0,17.39,38065.68
2009,Australia,15831,534.0,20.65,38065.68
2009,Australia,15831,534.0,12.87,38065.68
2009,Australia,15831,534.0,14.65,38065.68
2009,Australia,15831,534.0,19.01,38065.68
2009,Australia,15831,534.0,18.18,38065.68
2010,Australia,15729,534.0,16.72,42169.39
2010,Australia,15729,534.0,20.33,42169.39
2010,Australia,15729,534.0,12.37,42169.39
2010,Australia,15729,534.0,14.23,42169.39
2010,Australia,15729,534.0,19.09,42169.39
2010,Australia,15729,534.0,18.0,42169.39
2011,Australia,20301,534.0,16.9,47632.99
2011,Australia,20301,534.0,19.88,47632.99
2011,Australia,20301,534.0,12.16,47632.99
2011,Australia,20301,534.0,14.19,47632.99
2011,Australia,20301,534.0,19.99,47632.99
2011,Australia,20301,534.0,17.71,47632.99
2012,Australia,21511,534.0,16.84,48687.88
2012,Australia,21511,534.0,20.08,48687.88
2012,Australia,21511,534.0,11.79,48687.88
2012,Australia,21511,534.0,14.27,48687.88
2012,Australia,21511,534.0,19.55,48687.88
2012,Australia,21511,534.0,17.47,48687.88
2013,Australia,17609,534.0,17.39,45177.18
2013,Australia,17609,534.0,20.14,45177.18
2013,Australia,17609,534.0,12.19,45177.18
2013,Australia,17609,534.0,14.74,45177.18
2013,Australia,17609,534.0,19.98,45177.18
2013,Australia,17609,534.0,18.09,45177.18
1990,Austria,81800,1110.0,9.23,4246.0
1991,Austria,84800,1110.0,8.15,4487.0
1992,Austria,64800,1110.0,9.49,3897.0
1993,Austria,89710,1110.0,8.48,3984.0
1994,Austria,79160,1110.0,9.89,3619.0
1995,Austria,85000,1110.0,8.79,3402.0
1996,Austria,86200,1110.0,7.4,3565.0
1997,Austria,97800,1110.0,8.37,3689.6
1998,Austria,96100,1110.0,9.01,3340.3
1999,Austria,96000,1110.0,9.17,3418.6
2000,Austria,98600,1110.0,10.08,3563.2
2001,Austria,90869,1110.0,8.75,3132.2
2002,Austria,99815,1110.0,9.62,3079.2
2004,Austria,96544,1110.0,8.76,3301.7
2005,Austria,106570,1110.0,8.6,3404.0
2006,Austria,96370,1110.0,9.13,3415.7
2007,Austria,103128,1110.0,10.03,3526.6
2008,Austria,113173,1110.0,9.96,4246.7
2009,Austria,108293,1110.0,9.48,3531.8
2010,Austria,97247,1110.0,8.36,3692.4
2011,Austria,112996,1110.0,9.42,3441.5
2012,Austria,107025,1110.0,9.42,3563.3
2013,Austria,81173,1110.0,10.03,3108.6
1990,Austria,249854,1110.0,9.23,4246.0
1991,Austria,236372,1110.0,8.15,4487.0
1992,Austria,223470,1110.0,9.49,3897.0
1993,Austria,284925,1110.0,8.48,3984.0
1994,Austria,199650,1110.0,9.89,3619.0
1995,Austria,267949,1110.0,8.79,3402.0
1996,Austria,291997,1110.0,7.4,3565.0
1997,Austria,288325,1110.0,8.37,3689.6
1998,Austria,283064,1110.0,9.01,3340.3
1999,Austria,307044,1110.0,9.17,3418.6
2000,Austria,292627,1110.0,10.08,3563.2
2001,Austria,300394,1110.0,8.75,3132.2
2002,Austria,303832,1110.0,9.62,3079.2
2004,Austria,316117,1110.0,8.76,3301.7
2005,Austria,343985,1110.0,8.6,3404.0
2006,Austria,298641,1110.0,9.13,3415.7
2007,Austria,294931,1110.0,10.03,3526.6
2008,Austria,331993,1110.0,9.96,4246.7
2009,Austria,324947,1110.0,9.48,3531.8
2010,Austria,305703,1110.0,8.36,3692.4
2011,Austria,357127,1110.0,9.42,3441.5
2012,Austria,305491,1110.0,9.42,3563.3
2013,Austria,285897,1110.0,10.03,3108.6
2010,Austria,67666,1110.0,8.36,3692.4
2011,Austria,67299,1110.0,9.42,3441.5
2012,Austria,68081,1110.0,9.42,3563.3
2013,Austria,52447,1110.0,10.03,3108.6
1990,Austria,19046,1110.0,9.23,4246.0
1991,Austria,24958,1110.0,8.15,4487.0
1992,Austria,17480,1110.0,9.49,3897.0
1993,Austria,23168,1110.0,8.48,3984.0
1994,Austria,22505,1110.0,9.89,3619.0
1995,Austria,22768,1110.0,8.79,3402.0
1996,Austria,20100,1110.0,7.4,3565.0
1997,Austria,22000,1110.0,8.37,3689.6
1998,Austria,25189,1110.0,9.01,3340.3
1999,Austria,27209,1110.0,9.17,3418.6
2000,Austria,21139,1110.0,10.08,3563.2
2001,Austria,20736,1110.0,8.75,3132.2
2002,Austria,25244,1110.0,9.62,3079.2
2004,Austria,25092,1110.0,8.76,3301.7
2005,Austria,28267,1110.0,8.6,3404.0
2006,Austria,25970,1110.0,9.13,3415.7
2007,Austria,26211,1110.0,10.03,3526.6
2008,Austria,29369,1110.0,9.96,4246.7
2009,Austria,28171,1110.0,9.48,3531.8
2010,Austria,27501,1110.0,8.36,3692.4
2011,Austria,28691,1110.0,9.42,3441.5
2012,Austria,28051,1110.0,9.42,3563.3
2013,Austria,19697,1110.0,10.03,3108.6
1990,Austria,50479,1110.0,9.23,4246.0
1991,Austria,50735,1110.0,8.15,4487.0
1992,Austria,53938,1110.0,9.49,3897.0
1993,Austria,42246,1110.0,8.48,3984.0
1994,Austria,52088,1110.0,9.89,3619.0
1995,Austria,50856,1110.0,8.79,3402.0
1996,Austria,50069,1110.0,7.4,3565.0
1997,Austria,52044,1110.0,8.37,3689.6
1998,Austria,50749,1110.0,9.01,3340.3
1999,Austria,54348,1110.0,9.17,3418.6
2000,Austria,44688,1110.0,10.08,3563.2
2001,Austria,52412,1110.0,8.75,3132.2
2002,Austria,49667,1110.0,9.62,3079.2
2004,Austria,59234,1110.0,8.76,3301.7
2005,Austria,50286,1110.0,8.6,3404.0
2006,Austria,49066,1110.0,9.13,3415.7
2007,Austria,47763,1110.0,10.03,3526.6
2008,Austria,56935,1110.0,9.96,4246.7
2009,Austria,49295,1110.0,9.48,3531.8
2010,Austria,50117,1110.0,8.36,3692.4
2011,Austria,58549,1110.0,9.42,3441.5
2012,Austria,41388,1110.0,9.42,3563.3
2013,Austria,53743,1110.0,10.03,3108.6
1992,Azerbaijan,18740,447.0,10.93,148.68
1993,Azerbaijan,13918,447.0,10.53,148.68
1994,Azerbaijan,14619,447.0,11.32,148.68
1995,Azerbaijan,11810,447.0,12.81,148.68
1996,Azerbaijan,17369,447.0,11.96,148.68
1997,Azerbaijan,24340,447.0,11.89,148.68
1998,Azerbaijan,29541,447.0,12.79,148.68
1999,Azerbaijan,35343,447.0,12.74,148.68
